productid,name,category
1,Pavlova,Confections
2,Chang,Beverages
3,Lakkalikööri,Beverages
4,Spegesild,Seafood
5,Grandma's Boysenberry Spread,Condiments
6,Teatime Chocolate Biscuits,Confections
7,Tofu,Produce
8,Chartreuse verte,Beverages
9,Rhönbräu Klosterbier,Beverages
10,Aniseed Syrup,Condiments
11,Chef Anton's Cajun Seasoning,Condiments
12,Northwoods Cranberry Sauce,Condiments
13,Louisiana Hot Spiced Okra,Condiments
14,Original Frankfurter grüne Soße,Condiments
15,Sir Rodney's Marmalade,Confections
16,Queso Manchego La Pastora,Dairy Products
17,Mascarpone Fabioli,Dairy Products
18,Camembert Pierrot,Dairy Products
19,Tunnbröd,Grains/Cereals
20,Filo Mix,Grains/Cereals
21,Wimmers gute Semmelknödel,Grains/Cereals
22,Pâté chinois,Meat/Poultry
23,Uncle Bob's Organic Dried Pears,Produce
24,Ikura,Seafood
25,Konbu,Seafood
26,Jack's New England Clam Chowder,Seafood
27,Röd Kaviar,Seafood
28,Chai,Beverages
29,Gorgonzola Telino,Dairy Products
30,Valkoinen suklaa,Confections
31,Guaraná Fantástica,Beverages
32,Queso Cabrales,Dairy Products
33,Ipoh Coffee,Beverages
34,Rössle Sauerkraut,Produce
35,Scottish Longbreads,Confections
36,Alice Mutton,Meat/Poultry
37,Perth Pasties,Meat/Poultry
38,Tourtière,Meat/Poultry
39,Nord-Ost Matjeshering,Seafood
40,Sasquatch Ale,Beverages
41,Outback Lager,Beverages
42,Boston Crab Meat,Seafood
43,Sirop d'érable,Condiments
44,Sir Rodney's Scones,Confections
45,Laughing Lumberjack Lager,Beverages
46,Geitost,Dairy Products
47,NuNuCa Nuß-Nougat-Creme,Confections
48,Ravioli Angelo,Grains/Cereals
49,Manjimup Dried Apples,Produce
50,Carnarvon Tigers,Seafood
51,Chef Anton's Gumbo Mix,Condiments
52,Tarte au sucre,Confections
53,Steeleye Stout,Beverages
54,Vegie-spread,Condiments
55,Gula Malacca,Condiments
56,Fløtemysost,Dairy Products
57,Maxilaku,Confections
58,Singaporean Hokkien Fried Mee,Grains/Cereals
59,Raclette Courdavault,Dairy Products
60,Thüringer Rostbratwurst,Meat/Poultry
61,Côte de Blaye,Beverages
62,Inlagd Sill,Seafood
63,Gudbrandsdalsost,Dairy Products
64,Gnocchi di nonna Alice,Grains/Cereals
65,Louisiana Fiery Hot Pepper Sauce,Condiments
66,Gumbär Gummibärchen,Confections
67,Mozzarella di Giovanni,Dairy Products
68,Escargots de Bourgogne,Seafood
69,Røgede sild,Seafood
70,Gustaf's Knäckebröd,Grains/Cereals
71,Longlife Tofu,Produce
72,Zaanse koeken,Confections
73,Schoggi Schokolade,Confections
74,Gravad lax,Seafood
75,Mishi Kobe Niku,Meat/Poultry
76,Chocolade,Confections
77,Genen Shouyu,Condiments
