productid,Product Name,Product Category,Product Sub-Category
1,DIXON Oriole¨ Pencils,Office Supplies,Pens & Art Supplies
2,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Office Furnishings
3,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper
4,Howard Miller 12-3/4 Diameter Accuwave DS ª Wall Clock,Furniture,Office Furnishings
5,"Seth Thomas 12"" Clock w/ Goldtone Case",Furniture,Office Furnishings
6,Bevis Round Conference Room Tables and Bases,Furniture,Tables
7,"Advantus Push Pins, Aluminum Head",Office Supplies,Rubber Bands
8,Acco Perma¨ 2700 Stacking Storage Drawers,Office Supplies,Storage & Organization
9,LX 677,Technology,Telephones and Communication
10,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances
11,DAX Clear Channel Poster Frame,Furniture,Office Furnishings
12,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes
13,Wilson Jones DublLock¨ D-Ring Binders,Office Supplies,Binders and Binder Accessories
14,Staples¨ General Use 3-Ring Binders,Office Supplies,Binders and Binder Accessories
15,3M Organizer Strips,Office Supplies,Binders and Binder Accessories
16,Panasonic KX-P3626 Dot Matrix Printer,Technology,Office Machines
17,Canon PC1060 Personal Laser Copier,Technology,Copiers and Fax
18,Acco¨ Hot Clipsª Clips to Go,Office Supplies,Rubber Bands
19,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
20,Xerox 1947,Office Supplies,Paper
21,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances
22,Xerox 1950,Office Supplies,Paper
23,GBC ProClickª 150 Presentation Binding System,Office Supplies,Binders and Binder Accessories
24,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Office Furnishings
25,"80 Minute CD-R Spindle, 100/Pack - Staples",Technology,Computer Peripherals
26,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
27,Ultra Door Pull Handle,Furniture,Office Furnishings
28,Xerox 1920,Office Supplies,Paper
29,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Technology,Computer Peripherals
30,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Office Furnishings
31,Avery 496,Office Supplies,Labels
32,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances
33,"Memorex 4.7GB DVD-RAM, 3/Pack",Technology,Computer Peripherals
34,Xerox 1949,Office Supplies,Paper
35,Xerox 1907,Office Supplies,Paper
36,Xerox 1974,Office Supplies,Paper
37,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,"Scissors, Rulers and Trimmers"
38,Hoover Portapowerª Portable Vacuum,Office Supplies,Appliances
39,Peel & Stick Add-On Corner Pockets,Office Supplies,Binders and Binder Accessories
40,Filing/Storage Totes and Swivel Casters,Office Supplies,Storage & Organization
41,Accessory2,Technology,Telephones and Communication
42,Economy Rollaway Files,Office Supplies,Storage & Organization
43,TimeportP7382,Technology,Telephones and Communication
44,"Tyvek ¨ Top-Opening Peel & Seel ¨ Envelopes, Gray",Office Supplies,Envelopes
45,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders and Binder Accessories
46,Polycom ViewStationª Adapter H323 Videoconferencing Unit,Technology,Office Machines
47,Bush Advantage Collection¨ Round Conference Table,Furniture,Tables
48,Xerox 21,Office Supplies,Paper
49,*Staples* Highlighting Markers,Office Supplies,Pens & Art Supplies
50,Accessory34,Technology,Telephones and Communication
51,Fellowes Super Stor/Drawer¨ Files,Office Supplies,Storage & Organization
52,"Hot File¨ 7-Pocket, Floor Stand",Office Supplies,Storage & Organization
53,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes
54,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Pens & Art Supplies
55,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,Pens & Art Supplies
56,Epson LQ-570e Dot Matrix Printer,Technology,Office Machines
57,"Memorex 80 Minute CD-R, 30/Pack",Technology,Computer Peripherals
58,5190,Technology,Telephones and Communication
59,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Office Furnishings
60,Chromcraft Rectangular Conference Tables,Furniture,Tables
61,252,Technology,Telephones and Communication
62,AT&T 1430 2.4GHz Analog Phone w/Caller ID,Technology,Office Machines
63,"Memorex 'Cool' 80 Minute CD-R Spindle, 25/Pack",Technology,Computer Peripherals
64,Cardinal Holdit Business Card Pockets,Office Supplies,Binders and Binder Accessories
65,T39m,Technology,Telephones and Communication
66,Deflect-O¨ Glasstiqueª Clear Desk Accessories,Furniture,Office Furnishings
67,"Imation Neon Mac Format Diskettes, 10/Pack",Technology,Computer Peripherals
68,"Avery¨ Durable Plastic 1"" Binders",Office Supplies,Binders and Binder Accessories
69,"Imation IBM Formatted Diskettes, 100/Pack",Technology,Computer Peripherals
70,Ibico Presentation Index for Binding Systems,Office Supplies,Binders and Binder Accessories
71,Wirebound Voice Message Log Book,Office Supplies,Paper
72,Logitech Cordless Keyboard,Technology,Computer Peripherals
73,"Master Caster Door Stop, Gray",Furniture,Office Furnishings
74,Accessory27,Technology,Telephones and Communication
75,Staples Colored Interoffice Envelopes,Office Supplies,Envelopes
76,SAFCO Optional Arm Kit for Workspace¨ Cribbage Stacking Chair,Furniture,Chairs & Chairmats
77,Xerox 1896,Office Supplies,Paper
78,"Acco Clips to Goª Binder Clips, 24 Clips in Two Sizes",Office Supplies,Rubber Bands
79,Targus USB Numeric Keypad,Technology,Computer Peripherals
80,Accessory31,Technology,Telephones and Communication
81,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables
82,"Executive Impressions 12"" Wall Clock",Furniture,Office Furnishings
83,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Rubber Bands
84,Kensington 4 Outlet MasterPiece¨ Compact Power Control Center,Office Supplies,Appliances
85,"""While you Were Out"" Message Book, One Form per Page",Office Supplies,Paper
86,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper
87,Computer Printout Paper with Letter-Trim Perforations,Office Supplies,Paper
88,Fellowes Bankers Boxª Stor/Drawer¨ Steel Plusª,Office Supplies,Storage & Organization
89,Newell 315,Office Supplies,Pens & Art Supplies
90,Microsoft Natural Keyboard Elite,Technology,Computer Peripherals
91,Accessory41,Technology,Telephones and Communication
92,Xerox 196,Office Supplies,Paper
93,Gyration Ultra Professional Cordless Optical Suite,Technology,Computer Peripherals
94,KI Conference Tables,Furniture,Tables
95,Xerox 1963,Office Supplies,Paper
96,Bagged Rubber Bands,Office Supplies,Rubber Bands
97,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases
98,Canon PC940 Copier,Technology,Copiers and Fax
99,Avery 484,Office Supplies,Labels
100,Eldon Simplefile¨ Box Office¨,Office Supplies,Storage & Organization
101,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes
102,Ames Color-File¨ Green Diamond Border X-ray Mailers,Office Supplies,Envelopes
103,Xerox 1899,Office Supplies,Paper
104,Xerox 210,Office Supplies,Paper
105,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases
106,Phone 918,Technology,Telephones and Communication
107,"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Pens & Art Supplies
108,Bush Advantage Collection¨ Racetrack Conference Table,Furniture,Tables
109,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Office Furnishings
110,MicroTAC 650,Technology,Telephones and Communication
111,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Office Supplies,Appliances
112,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders and Binder Accessories
113,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs & Chairmats
114,Avery 503,Office Supplies,Labels
115,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Appliances
116,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Tables
117,Vinyl Sectional Post Binders,Office Supplies,Binders and Binder Accessories
118,ACCOHIDE¨ Binder by Acco,Office Supplies,Binders and Binder Accessories
119,Avery 506,Office Supplies,Labels
120,1726 Digital Answering Machine,Technology,Telephones and Communication
121,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Office Furnishings
122,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage & Organization
123,Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables
124,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs & Chairmats
125,Avery 493,Office Supplies,Labels
126,EcoTones¨ Memo Sheets,Office Supplies,Paper
127,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes
128,Xerox 1892,Office Supplies,Paper
129,Newell 35,Office Supplies,Pens & Art Supplies
130,Canon MP41DH Printing Calculator,Technology,Office Machines
131,"Wirebound Message Book, 4 per Page",Office Supplies,Paper
132,"Bevis Round Conference Table Top, X-Base",Furniture,Tables
133,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Technology,Office Machines
134,Xerox 220,Office Supplies,Paper
135,Polycom ViewStationª ISDN Videoconferencing Unit,Technology,Office Machines
136,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper
137,Xerox 1968,Office Supplies,Paper
138,Xerox 1978,Office Supplies,Paper
139,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper
140,Xerox 1982,Office Supplies,Paper
141,Bevis 36 x 72 Conference Tables,Furniture,Tables
142,Microsoft Natural Multimedia Keyboard,Technology,Computer Peripherals
143,Xerox 23,Office Supplies,Paper
144,36X48 HARDFLOOR CHAIRMAT,Furniture,Office Furnishings
145,2160,Technology,Telephones and Communication
146,Imation DVD-RAM discs,Technology,Computer Peripherals
147,Rogers¨ Profile Extra Capacity Storage Tub,Office Supplies,Storage & Organization
148,"Adams Phone Message Book, 200 Message Capacity, 8 1/16Ó x 11Ó",Office Supplies,Paper
149,Fellowes Neat Ideas¨ Storage Cubes,Office Supplies,Storage & Organization
150,Belkin ErgoBoardª Keyboard,Technology,Computer Peripherals
151,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper
152,Wilson Jones Suede Grain Vinyl Binders,Office Supplies,Binders and Binder Accessories
153,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders and Binder Accessories
154,Bush Mission Pointe Library,Furniture,Bookcases
155,Xerox 216,Office Supplies,Paper
156,Xerox 204,Office Supplies,Paper
157,Hon iLevelª Computer Training Table,Furniture,Tables
158,"Fellowes Internet Keyboard, Platinum",Technology,Computer Peripherals
159,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Pens & Art Supplies
160,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders and Binder Accessories
161,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Technology,Computer Peripherals
162,Newell 343,Office Supplies,Pens & Art Supplies
163,Accessory25,Technology,Telephones and Communication
164,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders and Binder Accessories
165,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables
166,Xerox 209,Office Supplies,Paper
167,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",Technology,Computer Peripherals
168,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,Office Supplies,Binders and Binder Accessories
169,Acme¨ Preferred Stainless Steel Scissors,Office Supplies,"Scissors, Rulers and Trimmers"
170,V70,Technology,Telephones and Communication
171,Xerox 200,Office Supplies,Paper
172,Avery 474,Office Supplies,Labels
173,"Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers",Technology,Office Machines
174,"Eldon¨ Expressionsª Wood and Plastic Desk Accessories, Oak",Furniture,Office Furnishings
175,Xerox 1905,Office Supplies,Paper
176,Xerox 1995,Office Supplies,Paper
177,6160,Technology,Telephones and Communication
178,600 Series Flip,Technology,Telephones and Communication
179,"Fellowes Basic 104-Key Keyboard, Platinum",Technology,Computer Peripherals
180,Staples Standard Envelopes,Office Supplies,Envelopes
181,Accessory35,Technology,Telephones and Communication
182,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,Tables
