room,duration,available_time,occupancy_percentage,variance
ITC 5-112,3150.0,2880,109.4,0.0
ITC 5-110,2625.0,2400,109.4,0.0
ITC 0-001,915.0,960,95.3,19012.0
RA 3247,450.0,480,93.8,
ZZ SC/T,102375.0,109440,93.5,111586.0
ITC 0-065,48135.0,53760,89.5,1734.0
ITC 5-136,15330.0,17280,88.7,4375.0
ITC 2-032,6300.0,7200,87.5,0.0
ITC 3-137,29100.0,34560,84.2,5165.0
ITC 3-004,47730.0,58080,82.2,5661.0
ITC 2-010,40650.0,50400,80.7,5379.0
GY 1.78 COTF,52665.0,65280,80.7,24751.0
ITC 2-004,18450.0,23040,80.1,16512.0
ITC 5-108 + 110,29115.0,36480,79.8,6639.0
ITC 1-032,12525.0,15840,79.1,11876.0
ITC 5-008,18840.0,24000,78.5,6940.0
ITC 2-038,23190.0,29760,77.9,8298.0
HT 805,28245.0,36480,77.4,17632.0
ITC 3-145,5565.0,7200,77.3,6090.0
HT 807,29325.0,38400,76.4,16997.0
HT 801,29010.0,38400,75.5,17896.0
RA 3106,3255.0,4320,75.3,12006.0
ITC 4-112,84555.0,112800,75.0,14151.0
ITC 4-024,67875.0,90720,74.8,13910.0
ITC 3-110,107775.0,144480,74.6,10068.0
HT 803,27390.0,36960,74.1,18029.0
ITC 5-108,46170.0,62400,74.0,14209.0
ITC 4-146,73995.0,100320,73.8,11771.0
HT 509,47760.0,64800,73.7,17437.0
HT 501,49470.0,67200,73.6,16586.0
HT 503,49470.0,67200,73.6,16829.0
HT 505,51360.0,70080,73.3,17265.0
RA 2207,3150.0,4320,72.9,14063.0
HT 703,50730.0,69600,72.9,16143.0
HT 915,26340.0,36480,72.2,18987.0
GY F Playground,345.0,480,71.9,
ITC 3-128,48285.0,67680,71.3,14014.0
CR 4132,11595.0,16320,71.0,19709.0
RA 2253,3375.0,4800,70.3,14062.0
GY 0.93 Emphathise/Interact,675.0,960,70.3,25312.0
ITC 5-056,99795.0,142560,70.0,13229.0
HT 701,35100.0,50400,69.6,15801.0
OH 215,160815.0,235680,68.2,17120.0
HT 1211,6195.0,9120,67.9,16921.0
GY 1.78 (cvdt),10680.0,15840,67.4,12797.0
ZZ THERM/T,103500.0,153600,67.4,27520.0
ITC 1-068 + 072,104565.0,156000,67.0,12964.0
HT 903,27360.0,41280,66.3,17905.0
SP PR 1,1590.0,2400,66.2,37845.0
HT 1209,24840.0,37920,65.5,10618.0
HT 1213,5970.0,9120,65.5,16487.0
HT 911,32625.0,49920,65.4,16707.0
HT 909,32175.0,49440,65.1,16687.0
HT 901,23385.0,36000,65.0,17090.0
HT 1207,24615.0,37920,64.9,11169.0
HT 1201,24615.0,37920,64.9,11169.0
HT 1205,24615.0,37920,64.9,11169.0
WH 221,33900.0,52320,64.8,12482.0
GY 1.86-1 mWorkshop,5280.0,8160,64.7,27697.0
HT 1203,24840.0,38400,64.7,11121.0
GY 1.81-1 eWorkshop,5280.0,8160,64.7,27697.0
HT 907,31365.0,48480,64.7,16958.0
CR 4134,10500.0,16320,64.3,14293.0
HT 913,26760.0,41760,64.1,19004.0
RA 4245,3690.0,5760,64.1,19207.0
CR 4620,15285.0,24000,63.7,11368.0
OH 211,144915.0,227520,63.7,16119.0
HT 905,26265.0,41280,63.6,17137.0
ZI Westzaal,68475.0,108000,63.4,22767.0
WH 216 Modelwerkplaats CTW,47265.0,74880,63.1,12717.0
ITC 4-004,89055.0,142080,62.7,14984.0
"GY 1.86-1 (werkplaats hout, metaal)",900.0,1440,62.5,16875.0
CR 4632,2700.0,4320,62.5,12656.0
WH 122 Metaalwerkplaats CTW,80580.0,130080,61.9,11663.0
OH 114,130800.0,213600,61.2,16028.0
GY 1.86-1.88 (open projectruimte Create),13170.0,21600,61.0,29420.0
GY 1.86-1.88 Prototype (voorheen CREATE),18390.0,30720,59.9,24866.0
VR 275G (Library),285.0,480,59.4,
OH 210,142515.0,240960,59.1,17024.0
NH 207,159630.0,271200,58.9,14314.0
NH 115,140985.0,241920,58.3,17523.0
ZI A138,91710.0,157920,58.1,15972.0
