date,room,duration
2016-11-07,ZZ EXTERN,15.0
2014-11-28,ITC 3-008,15.0
2014-11-28,ITC 1-068 + 072,15.0
2014-11-28,ITC 5-056,15.0
2016-09-27,OH 211,30.0
2014-11-04,NH 205,30.0
2014-04-22,CU B200A,30.0
2015-02-11,ZZ NH 124/T,30.0
2014-02-17,ZZ WA 4/T,30.0
2014-06-24,CU B101,30.0
2015-10-05,WA 4,30.0
2014-03-10,ZZ WA 4/T,30.0
2015-04-10,ZZ NH 124/T,30.0
2015-10-16,SP 7,30.0
2016-09-20,OH 211,30.0
2016-09-22,ZZ EXTERN,30.0
2014-02-10,ZZ SP 3/T,30.0
2014-09-29,ITC 1-068 + 072,30.0
2014-09-29,ITC 3-008,30.0
2015-09-29,SP 6,30.0
2014-09-29,ITC 3-110,30.0
2014-09-29,ITC 4-004,30.0
2014-03-03,ZZ SP 3/T,30.0
2015-09-15,SP 6,30.0
2013-11-11,RA 2237,45.0
2013-09-12,NH 205,45.0
2014-04-03,HB 2E,45.0
2015-10-09,GY 1.79 Inform,45.0
2014-03-21,NH 205,45.0
2013-11-11,RA 4237,45.0
2016-01-14,NH 205,45.0
2015-04-02,ZZ EXTERN,45.0
2016-10-21,CU C238,45.0
2016-10-10,HB 2A,45.0
2016-10-27,CR 2M,45.0
2015-09-28,CR 3H,45.0
2017-01-25,CR 3A,45.0
2016-11-29,RA 3112,45.0
2016-02-05,WA 2,45.0
2016-01-13,OH 116,45.0
2016-11-29,RA 3245,45.0
2016-11-29,RA 4110,45.0
2016-11-29,RA 4247,45.0
2016-12-21,SP 1,45.0
2014-10-23,ITC 0-143,45.0
2015-10-20,RA 4237,45.0
2014-10-23,NH 205,45.0
2015-08-31,CR 3F,45.0
2013-11-11,NH 209,45.0
2015-06-05,WA 3,45.0
2016-10-10,OH 218,45.0
2013-11-15,WA 4,45.0
2014-11-19,ITC 0-143,45.0
2016-11-29,RA 4411,45.0
2015-05-26,HB 2A,45.0
2015-10-20,OH 113,45.0
2016-04-06,HT 500A,45.0
2016-11-01,ITC 0-143,45.0
2013-11-07,ZZ OH 215/T,45.0
2015-01-06,HR C101,45.0
2014-01-30,CR 2L,45.0
