year,study,ASM,BOEK,COL,CQ,DTOETS,EXC,HC,ONO,OVO,PJB,PJO,PRA,PRS,RES,RESP,TOETS,WC,WG,ZGB,ZMB,ZZA CONGR,ZZA ORATIE,ZZA OVERIG,ZZTCP CURSUS
2013.0,AM,0,0,0,0,0,0,176,0,4,0,0,6,0,0,0,3,55,0,0,0,0,0,0,0
2013.0,AP,0,0,114,0,0,0,66,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0
2013.0,AT,0,0,61,0,19,0,117,0,1,6,185,109,215,0,0,12,165,0,6,36,0,0,0,0
2013.0,AT/ST/TN,0,0,0,0,0,0,39,0,6,0,66,0,0,0,0,6,123,0,75,0,0,0,0,0
2013.0,AT/TN,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2013.0,ATLAS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2013.0,BA,0,0,0,0,3,0,228,0,0,0,0,0,0,0,0,8,110,0,0,0,0,0,0,0
2013.0,BK,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0
2013.0,BME,0,0,0,0,0,0,78,0,8,0,0,36,8,0,0,9,0,96,0,0,0,0,0,0
2013.0,BMT,0,0,96,0,0,0,103,0,20,0,45,149,14,0,4,28,71,5,0,1,0,0,0,0
2013.0,BSK,0,0,0,0,0,0,383,0,8,32,0,84,0,0,1,33,71,0,0,0,0,0,0,0
2013.0,Bachelor,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013.0,CEM,0,0,0,0,0,0,185,0,9,0,0,11,3,0,2,6,14,0,0,0,0,0,0,0
2013.0,CEM-CME,0,0,0,0,0,0,29,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2013.0,CHE,0,0,132,0,2,0,137,0,18,0,30,13,1,0,0,9,18,0,0,0,0,0,0,0
2013.0,CIT,0,0,17,0,0,0,53,0,19,32,1,33,5,0,13,22,24,0,0,9,0,0,0,0
2013.0,CME,0,0,0,0,1,0,77,0,6,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0
2013.0,CRE,0,0,27,0,11,0,143,0,16,46,0,44,0,0,1,8,139,0,2,0,0,0,0,0
2013.0,CS,0,0,0,0,8,0,167,0,1,21,0,86,3,0,0,10,301,0,0,0,0,0,0,0
2013.0,CSC,0,0,0,0,0,0,452,0,2,52,0,0,2,0,4,26,157,0,0,0,0,0,0,0
2013.0,CW,0,0,0,0,12,0,158,0,1,37,0,129,0,0,0,20,287,0,0,0,0,0,0,0
2013.0,EE,0,0,49,0,10,0,498,0,5,132,0,132,0,0,0,8,97,0,18,0,0,0,0,0
