"Cursus","Cursusnaam","Collegejaar","Medewerker"
"191100010","TRIZ - Fundamentals","2015","M7665471"
"191100010","TRIZ - Fundamentals","2015","M7681343"
"191100020","TRIZ - Assignments","2015","M7665471"
"191100020","TRIZ - Assignments","2015","M7681343"
"191102010","Life-cycle Strategy","2015","M7665495"
"191102031","Product Design","2015","M7681343"
"191102031","Product Design","2015","M7683652"
"191102041","Manufacturing Facility Design","2015","M7643357"
"191102041","Manufacturing Facility Design","2015","M7681257"
"191102041","Manufacturing Facility Design","2015","M7683652"
"191103250","Project F (Mechatronica)","2015","M7640870"
"191103250","Project F (Mechatronica)","2015","M7642709"
"191121121","Verwerking & eigenschappen v. kunst.","2015","M7683142"
"191121700","Composites Forming","2015","M7644079"
"191121700","Composites Forming","2015","M7698576"
"191121710","Composites","2015","M7643368"
"191121710","Composites","2015","M7644079"
"191121720","Design, Production and Materials","2015","M7641359"
"191121720","Design, Production and Materials","2015","M7643368"
"191121720","Design, Production and Materials","2015","M7644079"
"191121720","Design, Production and Materials","2015","M7649481"
"191121720","Design, Production and Materials","2015","M7693720"
"191121720","Design, Production and Materials","2015","M7698576"
"191121730","Production Technology - Capita Selecta","2015","M7643368"
"191121730","Production Technology - Capita Selecta","2015","M7644079"
"191121730","Production Technology - Capita Selecta","2015","M7649481"
"191121740","Rheology & Processing of Thermoplastics","2015","M7683142"
"191127500","Production Management - Capita Selecta","2015","M7643357"
"191127500","Production Management - Capita Selecta","2015","M7683652"
"191127520","Lean Six Sigma Green Belt","2015","M7643357"
"191131161","Systeem en regeltechniek 2","2015","M7640870"
"191131360","DPPM","2015","M7648665"
"191131360","DPPM","2015","M7693169"
"191131410","Mechanical Automation - Capita Selecta","2015","M7640870"
"191131410","Mechanical Automation - Capita Selecta","2015","M7642709"
"191131410","Mechanical Automation - Capita Selecta","2015","M7643001"
"191131410","Mechanical Automation - Capita Selecta","2015","M7648665"
"191131410","Mechanical Automation - Capita Selecta","2015","M7688126"
"191131410","Mechanical Automation - Capita Selecta","2015","M7693169"
"191131700","System Identif. and Parameter Estimation","2015","M7642709"
"191131730","Dynamics of Machines","2015","M7642709"
"191137400","Laser Materials Processing","2015","M7643001"
"191141500","Thermal Engineering - Capita Selecta","2015","M7640283"
"191141500","Thermal Engineering - Capita Selecta","2015","M7641233"
"191141500","Thermal Engineering - Capita Selecta","2015","M7645325"
"191141500","Thermal Engineering - Capita Selecta","2015","M7646125"
"191141500","Thermal Engineering - Capita Selecta","2015","M7646288"
"191141500","Thermal Engineering - Capita Selecta","2015","M7681216"
"191141700","Transport Phenomena","2015","M7645325"
"191145500","LCA & Designing - Capita Selecta","2015","M7665495"
"191150700","Integrative Design of Biomedical Prod.","2015","M7641988"
"191150700","Integrative Design of Biomedical Prod.","2015","M7680998"
"191152100","Materiaalkunde 2","2015","M7649481"
"191154340","Gasdynamics","2015","M7641084"
"191154340","Gasdynamics","2015","M7641227"
"191154360","Inleiding luchtvaarttechniek","2015","M7641084"
"191154360","Inleiding luchtvaarttechniek","2015","M7646064"
"191154370","Aerodynamics and Laboratory Projects","2015","M7641084"
"191154390","Vliegtuigconstr., belasting & trillingen","2015","M7643368"
"191154390","Vliegtuigconstr., belasting & trillingen","2015","M7646064"
"191154390","Vliegtuigconstr., belasting & trillingen","2015","M7649450"
"191154390","Vliegtuigconstr., belasting & trillingen","2015","M7649481"
"191154390","Vliegtuigconstr., belasting & trillingen","2015","M7698026"
"191154710","Fluid Dynamics","2015","M7641084"
"191154720","Fluid Mechanics of Turbomachines 1","2015","M7641239"
"191154731","Computational Fluid Dynamics","2015","M7641227"
"191154731","Computational Fluid Dynamics","2015","M7688482"
"191154740","Biophysical Fluid Dyn.: The Resp. Syst.","2015","M7642708"
"191154750","Engineering Fluid Dynamics - C.S.","2015","M7640015"
"191154750","Engineering Fluid Dynamics - C.S.","2015","M7641084"
"191154750","Engineering Fluid Dynamics - C.S.","2015","M7641227"
"191154750","Engineering Fluid Dynamics - C.S.","2015","M7662193"
"191154750","Engineering Fluid Dynamics - C.S.","2015","M7688482"
"191154760","Fluid Mechanics of Turbomachines 2","2015","M7641239"
"191154770","Wave Motion","2015","M7646101"
"191155210","Inleiding technologisch onderzoek","2015","M7641586"
"191155210","Inleiding technologisch onderzoek","2015","M7646064"
"191155700","Solids and Surfaces","2015","M7641359"
"191155700","Solids and Surfaces","2015","M7643368"
"191155710","Surface Technology","2015","M7641359"
"191155720","Surface Technology and Tribology - C.S.","2015","M7640798"
"191155720","Surface Technology and Tribology - C.S.","2015","M7641359"
"191155720","Surface Technology and Tribology - C.S.","2015","M7642577"
"191155720","Surface Technology and Tribology - C.S.","2015","M7685768"
"191155720","Surface Technology and Tribology - C.S.","2015","M7690064"
"191155720","Surface Technology and Tribology - C.S.","2015","M7694272"
"191155720","Surface Technology and Tribology - C.S.","2015","M7696106"
"191155730","Tribology","2015","M7640798"
"191156500","Elastomeric Technology","2015","M7644653"
"191156500","Elastomeric Technology","2015","M7647239"
"191156500","Elastomeric Technology","2015","M7699338"
"191157110","Introduction to the Finite Elem.Meth. WB","2015","M7681627"
"191157140","Dynamica 2","2015","M7692548"
"191157190","Dynamica 1","2015","M7640853"
"191157240","Applied Mechanics - Capita Selecta","2015","M7640853"
"191157240","Applied Mechanics - Capita Selecta","2015","M7642013"
"191157240","Applied Mechanics - Capita Selecta","2015","M7642142"
"191157240","Applied Mechanics - Capita Selecta","2015","M7642527"
"191157240","Applied Mechanics - Capita Selecta","2015","M7646064"
"191157240","Applied Mechanics - Capita Selecta","2015","M7647119"
"191157240","Applied Mechanics - Capita Selecta","2015","M7647476"
"191157240","Applied Mechanics - Capita Selecta","2015","M7681627"
"191157240","Applied Mechanics - Capita Selecta","2015","M7692548"
"191157240","Applied Mechanics - Capita Selecta","2015","M7698026"
"191157710","Numerical Methods in Mechanical Eng.","2015","M7647476"
"191157710","Numerical Methods in Mechanical Eng.","2015","M7662020"
"191157710","Numerical Methods in Mechanical Eng.","2015","M7681627"
"191157710","Numerical Methods in Mechanical Eng.","2015","M7688482"
"191157730","Computational Structural Optimization","2015","M7640853"
"191158510","Programming in Engineering","2015","M7642908"
"191158510","Programming in Engineering","2015","M7684381"
"191158510","Programming in Engineering","2015","M7687466"
"191158510","Programming in Engineering","2015","M7692168"
